yrkeskode;yrke;hk_prob;hk_antall;antall;rel_prob
0;Uoppgitt eller yrker som ikke kan identifiseres;0;0;941;0
110;Offiserer fra fenrik og høyere grad;0;0;33;0
1111;Politikere;0;0;106;0
1112;Toppledere i offentlig administrasjon;0;0;268;0
1114;Toppledere i interesseorganisasjoner;0.00954653937947494;8;838;0.006762468300929839
1120;Administrerende direktører;0.002197802197802198;4;1820;0.0033812341504649195
1211;Finans- og økonomisjefer;0;0;1271;0
1212;Personalsjefer;0.001692047377326565;1;591;8.453085376162299e-4
1213;Strategi- og planleggingssjefer;0;0;85;0
1219;Andre administrative ledere;0.007809726659566915;22;2817;0.018596787827557058
1221;Salgs- og markedssjefer;0.01403180542563143;45;3207;0.03803888419273035
1222;PR- og informasjonssjefer;0.0046875;3;640;0.00253592561284869
1223;Forsknings- og utviklingsledere;0;0;369;0
1311;Ledere innen skogbruk, gartnerier mv.;0;0;83;0
1312;Ledere innen akvakultur mv.;0;0;123;0
1321;Ledere av industriproduksjon mv.;0.0026455026455026454;4;1512;0.0033812341504649195
1322;Ledere av olje- og gassutvinning mv;0;0;229;0
1323;Ledere av bygge- og anleggsvirksomhet;0.003110419906687403;4;1286;0.0033812341504649195
1324;Ledere av logistikk og transport mv.;9.025270758122744e-4;1;1108;8.453085376162299e-4
1330;Ledere av IKT-enheter;0.002205071664829107;2;907;0.0016906170752324597
1341;Ledere av omsorgstjenester for barn;0;0;617;0
1342;Ledere av helsetjenester;0.003873466752743706;12;3098;0.01014370245139476
1343;Ledere av eldreomsorg;0;0;70;0
1344;Ledere av sosialomsorg;0;0;71;0
1345;Ledere av utdanning og undervisning;0;0;3116;0
1346;Ledere av forsikring og finansvirksomhet;0;0;353;0
1349;Andre ledere av produksjon og tjenesteyting;0.003367003367003367;24;7128;0.02028740490278952
1411;Hotellsjefer;0;0;236;0
1412;Restaurantsjefer;0;0;1032;0
1420;Varehandelssjefer;0.002585983966899405;10;3867;0.0084530853761623
1431;Sports-, rekreasjons- og kultursenterledere;0.014970059880239521;5;334;0.00422654268808115
1439;Andre daglige ledere i tjenesteytende virksomheter;0;0;78;0
210;Befal med sersjant grad;0;0;2;0
2111;Fysikere og astronomer;0;0;298;0
2112;Meteorologer;0;0;61;0
2113;Kjemikere;0;0;278;0
2114;Geologer og geofysikere;0;0;575;0
2120;Matematikere, statistikere mv.;0.0028328611898017;1;353;8.453085376162299e-4
2131;Biologer, botanikere, zoologer mv.;0.0035087719298245615;3;855;0.00253592561284869
2132;Sivilagronomer mv.;0.009523809523809525;2;210;0.0016906170752324597
2133;Miljøvernrådgivere;0;0;202;0
2141;Sivilingeniører (industri og produksjon);0.008695652173913044;1;115;8.453085376162299e-4
2142;Sivilingeniører (bygg og anlegg);0.0026462805057336078;9;3401;0.0076077768385460695
2143;Sivilingeniører (miljøteknikk);0;0;27;0
