region,hk_antall,antall,hk_andel,kommnavn
0528 Østre Toten (-2019),3047,6781,0.4493437546084648,Østre Toten
0529 Vestre Toten (-2019),2662,6227,0.4274931748835715,Vestre Toten
0536 Søndre Land (-2019),945,2375,0.39789473684210525,Søndre Land
0538 Nordre Land (-2019),1118,2891,0.38671739882393635,Nordre Land
0543 Vestre Slidre (-2019),394,957,0.4117032392894462,Vestre Slidre
0544 Øystre Slidre (-2019),659,1588,0.4149874055415617,Øystre Slidre
0624 Øvre Eiker (-2019),4510,8997,0.5012782038457263,Øvre Eiker
0625 Nedre Eiker (-2019),6050,11762,0.5143683047100833,Nedre Eiker
0633 Nore og Uvdal (-2019),456,1202,0.3793677204658902,Nore og Uvdal
0701 Horten (2002-2019),6430,11857,0.5422956903095218,Horten
0716 Re (2002-2019),2111,4631,0.4558410710429713,Re
0729 Færder (2018-2019),6913,11626,0.594615516944779,Færder
0937 Evje og Hornnes (-2019),652,1552,0.42010309278350516,Evje og Hornnes
1850 Divtasvuodna - Tysfjord (-2019),307,784,0.39158163265306123,Tysfjord
1920 Loabák - Lavangen (-2019),159,398,0.39949748743718594,Lavangen
1940 Gáivuotna - Kåfjord - Kaivuono (-2019),362,889,0.40719910011248595,Kåfjord
2011 Guovdageaidnu - Kautokeino (-2019),626,1208,0.5182119205298014,Kautokeino
2021 Kárásjohka - Karasjok (-2019),711,1250,0.5688,Karasjok
2025 Deatnu - Tana (-2019),602,1264,0.4762658227848101,Tana
2027 Unjárga - Nesseby (-2019),168,351,0.47863247863247865,Nesseby
5027 Midtre Gauldal,1033,3016,0.34250663129973474,Midtre Gauldal
5040 Namdalseid (2018-2019),248,645,0.38449612403100775,Namdalseid
5041 Snåase - Snåsa,422,889,0.4746906636670416,Snåsa
5043 Raarvihke - Røyrvik,89,201,0.4427860696517413,Røyrvik
5054 Indre Fosen,1812,4423,0.40967669002939183,Indre Fosen
