,ISCO,wfh,confidence,ISCO1,wfh_dummy
0,1112,Yes,0.95,1,1
1,1111,Yes,0.95,1,1
2,1112,Yes,0.95,1,1
3,1113,No,0.95,1,0
4,1114,Yes,0.95,1,1
5,1211,Yes,0.95,1,1
6,1212,Yes,0.95,1,1
7,1213,Yes,0.95,1,1
8,1219,Yes,0.95,1,1
9,1221,Yes,0.95,1,1
10,1222,Yes,0.95,1,1
11,1223,Yes,0.95,1,1
12,1311,No,0.95,1,0
13,1312,No,0.95,1,0
14,1321,No,0.95,1,0
15,1322,No,0.95,1,0
16,1323,No,0.95,1,0
17,1324,Yes,0.9,1,1
18,1330,Yes,0.95,1,1
19,1341,No,0.91,1,0
20,1342,No,0.95,1,0
21,1343,Yes,0.95,1,1
22,1344,Yes,0.95,1,1
23,1345,Yes,0.95,1,1
24,1346,No,0.9,1,0
25,1349,Yes,0.81,1,1
26,1411,No,0.94,1,0
27,1412,No,0.95,1,0
28,1420,No,0.95,1,0
29,1431,No,0.95,1,0
30,2111,No,0.95,2,0
31,2112,Yes,0.75,2,1
32,2113,No,0.95,2,0
33,2114,No,0.95,2,0
34,2120,Yes,0.95,2,1
35,2131,No,0.95,2,0
36,2132,No,0.95,2,0
37,2133,No,0.95,2,0
38,2141,No,0.95,2,0
39,2142,No,0.95,2,0
40,2143,Yes,0.81,2,1
41,2144,No,0.95,2,0
42,2145,No,0.95,2,0
43,2146,No,0.67,2,0
44,2149,Yes,0.88,2,1
45,2151,No,0.95,2,0
46,2152,No,0.95,2,0
47,2153,No,0.94,2,0
48,2161,No,0.94,2,0
49,2162,No,0.83,2,0
50,2163,No,0.95,2,0
51,2164,Yes,0.95,2,1
52,2165,No,0.95,2,0
53,2166,Yes,0.95,2,1
54,2211,No,0.95,2,0
55,2212,No,0.95,2,0
56,2221,No,0.95,2,0
57,2222,No,0.95,2,0
58,2230,No,0.95,2,0
59,2240,No,0.95,2,0
60,2250,No,0.95,2,0
61,2261,No,0.95,2,0
62,2262,No,0.95,2,0
63,2263,Yes,0.95,2,1
64,2264,No,0.95,2,0
65,2265,Yes,0.95,2,1
66,2266,No,0.94,2,0
67,2267,No,0.94,2,0
68,2269,No,0.95,2,0
69,2310,Yes,0.87,2,1
70,2320,Yes,0.95,2,1
71,2330,Yes,0.95,2,1
72,2341,No,0.95,2,0
73,2342,No,0.95,2,0
74,2351,Yes,0.95,2,1
75,2352,No,0.95,2,0
76,2353,Yes,0.94,2,1
77,2354,Yes,0.95,2,1
78,2355,No,0.95,2,0
79,2356,Yes,0.95,2,1
80,2359,Yes,0.95,2,1
81,2411,Yes,0.95,2,1
82,2412,Yes,0.95,2,1
83,2413,Yes,0.95,2,1
84,2421,Yes,0.95,2,1
85,2422,Yes,0.95,2,1
86,2423,No,0.64,2,0
87,2424,Yes,0.95,2,1
88,2431,Yes,0.95,2,1
89,2432,Yes,0.95,2,1
90,2433,Yes,0.95,2,1
91,2434,Yes,0.94,2,1
92,2511,Yes,0.95,2,1
93,2512,Yes,0.95,2,1
94,2513,Yes,0.95,2,1
95,2514,Yes,0.95,2,1
96,2519,Yes,0.95,2,1
97,2521,Yes,0.95,2,1
98,2522,Yes,0.93,2,1
99,2523,Yes,0.95,2,1
100,2529,Yes,0.95,2,1
101,2611,No,0.95,2,0
102,2612,No,0.95,2,0
103,2619,No,0.95,2,0
104,2621,No,0.95,2,0
105,2622,No,0.9,2,0
106,2631,Yes,0.95,2,1
107,2632,Yes,0.95,2,1
108,2633,Yes,0.95,2,1
109,2634,Yes,0.91,2,1
110,2635,Yes,0.95,2,1
111,2636,No,0.95,2,0
112,2641,Yes,0.95,2,1
113,2642,Yes,0.95,2,1
114,2643,Yes,0.95,2,1
115,2651,Yes,0.95,2,1
116,2652,Yes,0.94,2,1
117,2653,Yes,0.67,2,1
118,2654,No,0.94,2,0
119,2655,No,0.95,2,0
120,2656,Yes,0.79,2,1
121,2659,No,0.93,2,0
122,3111,No,0.95,3,0
123,3112,No,0.95,3,0
124,3113,No,0.95,3,0
125,3114,No,0.95,3,0
126,3115,No,0.95,3,0
127,3116,No,0.95,3,0
128,3117,No,0.95,3,0
129,3118,Yes,0.95,3,1
130,3119,No,0.95,3,0
131,3121,No,0.95,3,0
132,3122,No,0.95,3,0
133,3123,No,0.95,3,0
134,3131,No,0.95,3,0
135,3132,No,0.95,3,0
136,3133,No,0.95,3,0
137,3134,No,0.95,3,0
138,3135,No,0.95,3,0
139,3141,No,0.94,3,0
140,3142,No,0.95,3,0
141,3143,No,0.95,3,0
142,3151,No,0.95,3,0
143,3152,No,0.95,3,0
144,3153,No,0.95,3,0
145,3154,No,0.95,3,0
146,3155,No,0.95,3,0
147,3211,No,0.95,3,0
148,3212,No,0.95,3,0
149,3213,No,0.95,3,0
150,3214,No,0.95,3,0
151,3221,No,0.95,3,0
152,3222,No,0.95,3,0
153,3230,No,0.95,3,0
154,3240,No,0.95,3,0
155,3251,No,0.95,3,0
156,3252,No,0.95,3,0
157,3253,No,0.91,3,0
158,3254,No,0.94,3,0
159,3255,No,0.95,3,0
160,3256,No,0.95,3,0
161,3257,No,0.94,3,0
162,3258,No,0.95,3,0
163,3259,No,0.93,3,0
164,3311,Yes,0.95,3,1
165,3312,Yes,0.95,3,1
166,3313,Yes,0.95,3,1
167,3314,Yes,0.95,3,1
168,3315,No,0.95,3,0
169,3321,Yes,0.95,3,1
170,3322,Yes,0.9,3,1
171,3323,Yes,0.95,3,1
172,3324,Yes,0.95,3,1
173,3331,No,0.94,3,0
174,3332,Yes,0.95,3,1
175,3333,Yes,0.94,3,1
176,3334,Yes,0.95,3,1
177,3339,Yes,0.95,3,1
178,3341,Yes,0.95,3,1
179,3342,Yes,0.95,3,1
180,3343,Yes,0.95,3,1
181,3344,No,0.95,3,0
182,3351,No,0.95,3,0
183,3352,Yes,0.95,3,1
184,3353,Yes,0.95,3,1
185,3354,Yes,0.95,3,1
186,3355,No,0.95,3,0
187,3359,No,0.95,3,0
188,3411,No,0.95,3,0
189,3412,No,0.95,3,0
190,3413,No,0.83,3,0
191,3421,No,0.95,3,0
192,3422,No,0.95,3,0
193,3423,No,0.95,3,0
194,3431,No,0.95,3,0
195,3432,No,0.95,3,0
196,3433,No,0.95,3,0
197,3434,No,0.93,3,0
198,3511,Yes,0.84,3,1
199,3512,Yes,0.95,3,1
200,3513,Yes,0.53,3,1
201,3514,Yes,0.95,3,1
202,3521,No,0.61,3,0
203,3522,No,0.95,3,0
204,4110,Yes,0.95,4,1
205,4120,Yes,0.95,4,1
206,4131,Yes,0.95,4,1
207,4132,Yes,0.95,4,1
208,4211,No,0.93,4,0
209,4212,Yes,0.94,4,1
210,4213,No,0.95,4,0
211,4214,Yes,0.92,4,1
212,4221,Yes,0.95,4,1
213,4222,Yes,0.95,4,1
214,4223,Yes,0.81,4,1
215,4224,No,0.95,4,0
216,4225,No,0.92,4,0
217,4226,No,0.95,4,0
218,4227,Yes,0.95,4,1
219,4229,Yes,0.95,4,1
220,4311,Yes,0.95,4,1
221,4312,Yes,0.95,4,1
222,4313,Yes,0.95,4,1
223,4321,No,0.95,4,0
224,4322,Yes,0.9,4,1
225,4323,Yes,0.95,4,1
226,4411,No,0.95,4,0
227,4412,No,0.95,4,0
228,4413,Yes,0.95,4,1
229,4414,Yes,0.95,4,1
230,4415,Yes,0.94,4,1
231,4416,Yes,0.95,4,1
232,4419,No,0.94,4,0
233,5111,No,0.95,5,0
234,5112,No,0.95,5,0
235,5113,No,0.95,5,0
236,5120,No,0.95,5,0
237,5131,No,0.95,5,0
238,5132,No,0.95,5,0
239,5141,No,0.95,5,0
240,5142,No,0.94,5,0
241,5151,No,0.95,5,0
242,5152,No,0.95,5,0
243,5153,No,0.95,5,0
244,5161,Yes,0.95,5,1
245,5162,No,0.95,5,0
246,5163,No,0.95,5,0
247,5164,No,0.95,5,0
248,5165,No,0.95,5,0
249,5169,No,0.95,5,0
250,5211,No,0.95,5,0
251,5212,No,0.95,5,0
252,5221,No,0.95,5,0
253,5222,No,0.95,5,0
254,5223,Yes,0.86,5,1
255,5230,No,0.95,5,0
256,5241,Yes,0.95,5,1
257,5242,Yes,0.75,5,1
258,5243,No,0.95,5,0
259,5244,Yes,0.95,5,1
260,5245,No,0.95,5,0
261,5246,No,0.95,5,0
262,5311,No,0.95,5,0
263,5312,No,0.85,5,0
264,5321,No,0.95,5,0
265,5322,No,0.95,5,0
266,5329,No,0.95,5,0
267,5411,No,0.95,5,0
268,5412,No,0.95,5,0
269,5413,No,0.95,5,0
270,5414,No,0.95,5,0
271,5419,No,0.95,5,0
272,6111,No,0.95,6,0
273,6112,No,0.95,6,0
274,6113,No,0.95,6,0
275,6114,No,0.95,6,0
276,6121,No,0.95,6,0
277,6122,No,0.92,6,0
278,6123,No,0.95,6,0
279,6129,No,0.8,6,0
280,6130,No,0.95,6,0
281,6210,No,0.95,6,0
282,6221,No,0.95,6,0
283,6222,No,0.95,6,0
284,6223,No,0.95,6,0
285,6224,No,0.95,6,0
286,6310,No,0.95,6,0
287,6320,No,0.95,6,0
288,6330,No,0.95,6,0
289,6340,No,0.95,6,0
290,7111,No,0.95,7,0
291,7112,No,0.95,7,0
292,7113,No,0.95,7,0
293,7114,No,0.95,7,0
294,7115,Yes,0.91,7,1
295,7119,No,0.95,7,0
296,7121,No,0.95,7,0
297,7122,No,0.95,7,0
298,7123,No,0.95,7,0
299,7124,No,0.95,7,0
300,7125,No,0.95,7,0
301,7126,No,0.95,7,0
302,7127,No,0.95,7,0
303,7131,No,0.95,7,0
304,7132,No,0.95,7,0
305,7133,No,0.95,7,0
306,7211,No,0.95,7,0
307,7212,No,0.95,7,0
308,7213,No,0.89,7,0
309,7214,No,0.95,7,0
310,7215,No,0.95,7,0
311,7221,No,0.95,7,0
312,7222,No,0.95,7,0
313,7223,No,0.95,7,0
314,7224,No,0.95,7,0
315,7231,No,0.95,7,0
316,7232,No,0.95,7,0
317,7233,No,0.95,7,0
318,7234,Yes,0.94,7,1
319,7311,No,0.95,7,0
320,7312,Yes,0.91,7,1
321,7313,Yes,0.95,7,1
322,7314,No,0.95,7,0
323,7315,No,0.95,7,0
324,7316,Yes,0.95,7,1
325,7317,No,0.94,7,0
326,7318,Yes,0.92,7,1
327,7321,No,0.95,7,0
328,7322,No,0.95,7,0
329,7323,Yes,0.95,7,1
330,7411,No,0.95,7,0
331,7412,No,0.95,7,0
332,7413,No,0.95,7,0
333,7421,No,0.95,7,0
334,7422,No,0.95,7,0
335,7511,No,0.95,7,0
336,7512,No,0.93,7,0
337,7513,No,0.95,7,0
338,7514,No,0.95,7,0
339,7515,No,0.93,7,0
340,7516,No,0.95,7,0
341,7521,No,0.95,7,0
342,7522,No,0.95,7,0
343,7523,No,0.95,7,0
344,7531,Yes,0.79,7,1
345,7532,No,0.91,7,0
346,7533,No,0.94,7,0
347,7534,No,0.95,7,0
348,7535,No,0.95,7,0
349,7536,No,0.95,7,0
350,7541,No,0.95,7,0
351,7542,No,0.95,7,0
352,7543,No,0.95,7,0
353,7544,No,0.95,7,0
354,7549,No,0.95,7,0
355,8111,No,0.95,8,0
356,8112,No,0.95,8,0
357,8113,No,0.95,8,0
358,8114,No,0.95,8,0
359,8121,No,0.95,8,0
360,8122,No,0.95,8,0
361,8131,No,0.95,8,0
362,8132,No,0.93,8,0
363,8141,No,0.95,8,0
364,8142,No,0.95,8,0
365,8143,No,0.95,8,0
366,8151,No,0.95,8,0
367,8152,No,0.95,8,0
368,8153,No,0.94,8,0
369,8154,No,0.95,8,0
370,8155,No,0.95,8,0
371,8156,No,0.95,8,0
372,8157,No,0.95,8,0
373,8159,No,0.95,8,0
374,8160,No,0.95,8,0
375,8171,No,0.95,8,0
376,8172,No,0.95,8,0
377,8181,No,0.95,8,0
378,8182,No,0.95,8,0
379,8183,No,0.95,8,0
380,8211,No,0.95,8,0
381,8212,No,0.95,8,0
382,8219,No,0.95,8,0
383,8311,No,0.95,8,0
384,8312,No,0.95,8,0
385,8321,No,0.95,8,0
386,8322,No,0.95,8,0
387,8331,No,0.95,8,0
388,8332,No,0.95,8,0
389,8341,No,0.95,8,0
390,8342,No,0.95,8,0
391,8343,No,0.95,8,0
392,8344,No,0.95,8,0
393,8350,No,0.95,8,0
394,9111,No,0.95,9,0
395,9112,No,0.95,9,0
396,9121,No,0.95,9,0
397,9122,No,0.95,9,0
398,9123,No,0.95,9,0
399,9129,No,0.95,9,0
400,9211,No,0.95,9,0
401,9212,No,0.95,9,0
402,9213,No,0.95,9,0
403,9214,No,0.95,9,0
404,9215,No,0.95,9,0
405,9216,No,0.95,9,0
406,9311,No,0.95,9,0
407,9312,No,0.95,9,0
408,9313,No,0.95,9,0
409,9321,No,0.95,9,0
410,9329,No,0.95,9,0
411,9331,No,0.95,9,0
412,9332,No,0.95,9,0
413,9333,No,0.95,9,0
414,9334,No,0.95,9,0
415,9411,No,0.95,9,0
416,9412,No,0.95,9,0
417,9510,No,0.95,9,0
418,9520,No,0.95,9,0
419,9611,No,0.95,9,0
420,9612,No,0.95,9,0
421,9613,No,0.95,9,0
422,9621,No,0.95,9,0
423,9622,No,0.95,9,0
424,9623,No,0.95,9,0
425,9624,No,0.95,9,0
426,9629,No,0.95,9,0
