STYRK title|STYRK|CENC|EN title
Legislators|1110|1|Chief Executives
Senior government officials|1120|1|Chief Executives
Senior government officials|1120|73|Emergency Management Spe-cialists
Senior officials of political-partyorganisations|1141|43|Managers, All Other
Senior officials of political-partyorganisations|1141|186|Misc. Social Scientists and Re-lated workers
Senior officials of employers’,workers’ and other economic or-ganisations|1142|13|Human Resources Managers
Senior officials of humanitarianand other interest organisations|1143|2|General and Operations Man-agers
Directors and chief executives|1210|1|Chief Executives
Production/operationsdep.managers in unspecified indus-tries|1220|14|Industrial Production Man-agers
Production/operationsdep.managersinagriculture,forestry and fishing|1221|20|Farm, Ranch, and Other Agri-cultural Managers
Production/operationsdep.managersinagriculture,forestry and fishing|1221|600|First-Line Managers of Farm-ing, Fishing, and Forestry work-ers
Production/operationsdep.managers in manufacturing,mining and quarrying, electric-ity, gas and water supply|1222|14|Industrial Production Man-agers
Production/operationsdep.managers in manufacturing,mining and quarrying, electric-ity, gas and water supply|1222|770|First-Line Managers of Produc-tion and Operating workers
Production/operationsdep.managers in construction|1223|22|Construction Managers
Production/operationsdep.managers in construction|1223|620|First-Line Managers of Con-struction Trades and Extraction Workers
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|31|Food Service Managers
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|34|Lodging Managers
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|43|Managers, All Other
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|401|First-Line Managers of Food Preparation and Serving work-ers 
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|470|First-Line Managers of Retail Sales workers
Production/operationsdep.managers in whole-sale andretail trade, hotels and restau-rants |1224|471|First-Line Managers of Non-Retail Sales workers
Production/operationsdep.managers in transport andcommunications |1225|16|Transportation, Storage, and Distribution Managers
Production/operationsdep.managers in transport andcommunications |1225|40|Postmasters and Mail Superin-tendents
Production/operationsdep.managers in transport andcommunications |1225|900|Supervisors,Transportationand Material Moving workers
Production/operationsdep.managers in business services |1226|10|Administrative Services Man-agers
Production/operationsdep.managers in public administra-tion |1227|42|Social and Community Service Managers
Production/operationsdep.managers in education, healthand social security |1228|10|Administrative Services Man-agers 
Production/operationsdep.managers in education, healthand social security |1228|23|Education Administrators
Production/operationsdep.managers in education, healthand social security |1228|35|Medical and Health Services Managers
Production/operationsdep.managers in personal care,cleaning and related services |1229|420|First-Line Managers of House-keeping and Janitorial workers
Production/operationsdep.managers in personal care,cleaning and related services |1229|432|First-Line Managers of Per-sonal Service workers
Finance and administration de-partment managers |1231|10|Administrative Services Man-agers
Finance and administration de-partment managers |1231|12|Financial Managers
Personneldepartmentman-agers |1232|13|Human Resources Managers
Sales department managers|1233|5|Marketing and Sales Managers
Advertising and public relationsdepartment managers|1234|4|AdvertisingandPromotionsManagers
Advertising and public relationsdepartment managers|1234|6|Public Relations Managers
Supply and distribution depart-ment managers |1235|15|Purchasing Managers
Supply and distribution depart-ment managers |1235|16|Transportation, Storage, and Distribution Managers
Computing services departmentmanagers |1236|11|Computer and Information Sys-tems Managers
Research and development de-partment managers |1237|30|Engineering Managers
Research and development de-partment managers |1237|35|Medical and Health ServicesManagers
Research and development de-partment managers |1237|36|Natural Sciences Managers
Research and development de-partment managers |1237|43|Managers, All Other
Other department managersn.e.c. |1239|43|Managers, All Other
Other department managersn.e.c. |1239|700|First-Line Managers of Me-chanics, Installers, and Repair-ers 
General managers in unspeci-fied industries|1310|2|General and Operations Man-agers
General managers in agricul-ture, forestry and fishing |1311|20|Farm, Ranch, and Other Agri-cultural Managers
General managers in agricul-ture, forestry and fishing |1311|600|First-Line Managers of Farm-ing, Fishing, and Forestry work-ers
General managers in manufac-turing, mining and quarrying,electricity, gas and water supply |1312|14|IndustrialProduction Man-agers
General managers in construc-tion |1313|620|First-Line Managers of Con-struction Trades and ExtractionWorkers
General managers in wholesaleand retail trade |1314|470|First-Line Managers of Retail Sales workers
General managers in wholesaleand retail trade |1314|471|First-Line Managers of Non-Retail Sales workers
General managers of restau-rants and hotels |1315|31|Food Service Managers
General managers of restau-rants and hotels |1315|34|Lodging Managers
