,ISCO,remote
0,1219,yes
1,1311,no
2,1321,yes
3,1324,yes
4,1341,no
5,1343,yes
6,1346,yes
7,1349,yes
8,1411,no
9,1412,no
10,1420,yes
11,2111,yes
12,2112,yes
13,2113,no
14,2132,yes
15,2141,unknown
16,2143,yes
17,2146,no
18,2149,yes
19,2151,yes
20,2153,yes
21,2161,yes
22,2162,yes
23,2163,yes
24,2165,no
25,2264,no
26,2266,no
27,2267,no
28,2310,yes
29,2320,no
30,2352,no
31,2355,no
32,2423,yes
33,2434,yes
34,2522,yes
35,2619,yes
36,2622,no
37,2634,no
38,2652,unknown
39,2653,no
40,2656,yes
41,2659,no
42,3141,no
43,3252,unknown
44,3253,no
45,3254,no
46,3259,yes
47,3315,yes
48,3322,yes
49,3331,yes
50,3333,yes
51,3334,no
52,3344,yes
53,3352,yes
54,3411,yes
55,3412,yes
56,3413,no
57,3434,no
58,3511,yes
59,3513,yes
60,3521,no
61,4211,no
62,4214,yes
63,4223,no
64,4225,yes
65,4322,no
66,4415,no
67,4419,yes
68,5120,no
69,5142,no
70,5162,no
71,5223,no
72,5311,no
73,5312,no
74,5322,no
75,5413,no
76,6122,no
77,6123,no
78,6129,no
79,7115,no
80,7213,no
81,7234,no
82,7312,no
83,7313,no
84,7317,no
85,7318,no
86,7511,no
87,7512,no
88,7515,yes
89,7531,yes
90,7532,yes
91,7533,yes
92,7536,no
93,7542,no
94,7549,no
95,8122,no
96,8132,no
97,8153,yes
98,8156,no
