"region","Befolkning per 1.1. (personer) 2019","Areal (km²) 2019","Landareal (km²) 2019","Innbyggere per km² landareal 2019"
"0 Hele landet",5328212,323805,304096,18
"30 Viken",0,0,0,0
"01 Østfold (-2019)",297520,4187,3889,77
"3001 Halden",0,0,0,0
"3002 Moss",0,0,0,0
"3003 Sarpsborg",0,0,0,0
"3004 Fredrikstad",0,0,0,0
"3005 Drammen",0,0,0,0
"3006 Kongsberg",0,0,0,0
"3007 Ringerike",0,0,0,0
"3011 Hvaler",0,0,0,0
"3012 Aremark",0,0,0,0
"3013 Marker",0,0,0,0
"3014 Indre Østfold",0,0,0,0
"3015 Skiptvet",0,0,0,0
"3016 Rakkestad",0,0,0,0
"3017 Råde",0,0,0,0
"3018 Våler (Viken)",0,0,0,0
"3019 Vestby",0,0,0,0
"3020 Nordre Follo",0,0,0,0
"3021 Ås",0,0,0,0
"3022 Frogn",0,0,0,0
"3023 Nesodden",0,0,0,0
"3024 Bærum",0,0,0,0
"3025 Asker",0,0,0,0
"3026 Aurskog-Høland",0,0,0,0
"3027 Rælingen",0,0,0,0
"3028 Enebakk",0,0,0,0
"3029 Lørenskog",0,0,0,0
"3030 Lillestrøm",0,0,0,0
"3031 Nittedal",0,0,0,0
"3032 Gjerdrum",0,0,0,0
"3033 Ullensaker",0,0,0,0
"3034 Nes",0,0,0,0
"3035 Eidsvoll",0,0,0,0
"3036 Nannestad",0,0,0,0
"3037 Hurdal",0,0,0,0
"3038 Hole",0,0,0,0
"3039 Flå",0,0,0,0
"3040 Nesbyen",0,0,0,0
"3041 Gol",0,0,0,0
"3042 Hemsedal",0,0,0,0
"3043 Ål",0,0,0,0
"3044 Hol",0,0,0,0
"3045 Sigdal",0,0,0,0
"3046 Krødsherad",0,0,0,0
"3047 Modum",0,0,0,0
"3048 Øvre Eiker",0,0,0,0
"3049 Lier",0,0,0,0
"3050 Flesberg",0,0,0,0
"3051 Rollag",0,0,0,0
"3052 Nore og Uvdal",0,0,0,0
"3053 Jevnaker",0,0,0,0
"3054 Lunner",0,0,0,0
"0101 Halden (-2019)",31177,642,595,52
"0102 Sarpsborg (-1991)",0,0,0,0
"0103 Fredrikstad (-1993)",0,0,0,0
"0104 Moss (-2019)",32726,64,58,564
"0105 Sarpsborg (1992-2019)",55997,406,370,151
"0106 Fredrikstad (1994-2019)",81772,293,284,288
"0111 Hvaler (-2019)",4599,90,90,51
"0113 Borge (-1993)",0,0,0,0
"0114 Varteig (-1991)",0,0,0,0
"0115 Skjeberg (-1991)",0,0,0,0
"0116 Berg  (-1966)",0,0,0,0
"0117 Idd (-1966)",0,0,0,0
"0118 Aremark (-2019)",1357,319,282,5
"0119 Marker (-2019)",3592,413,368,10
"0121 Rømskog (-2019)",673,183,159,4
"0122 Trøgstad (-2019)",5347,204,188,28
"0123 Spydeberg (-2019)",6042,142,133,45
"0124 Askim (-2019)",15865,69,66,240
"0125 Eidsberg (-2019)",11424,236,229,50
"0127 Skiptvet (-2019)",3797,101,93,41
"0128 Rakkestad (-2019)",8230,435,421,20
"0130 Tune (-1991)",0,0,0,0
"0131 Rolvsøy (1911-1993)",0,0,0,0
"0133 Kråkerøy (1908-1993)",0,0,0,0
"0134 Onsøy (-1993)",0,0,0,0
"0135 Råde (-2019)",7542,119,105,72
"0136 Rygge (-2019)",16145,74,70,232
"0137 Våler (Østfold) (-2019)",5593,257,239,23
"0138 Hobøl (-2019)",5642,140,139,40
"0199 Uoppgitt kommune Østfold",0,0,0,0
"02 Akershus (-2019)",624055,4918,4579,136
"0211 Vestby (-2019)",17824,134,134,133
"0213 Ski (-2019)",30843,166,162,191
"0214 Ås (-2019)",20335,103,101,201
"0215 Frogn (-2019)",15761,86,85,186
"0216 Nesodden (-2019)",19488,61,61,321
"0217 Oppegård (-2019)",27394,37,34,799
"0219 Bærum (-2019)",126841,192,189,672
"0220 Asker (-2019)",61523,101,97,635
"0221 Aurskog-Høland (-2019)",16500,962,894,18
"0226 Sørum (-2019)",18263,207,200,91
"0227 Fet (-2019)",11842,176,138,86
"0228 Rælingen (-2019)",18161,72,56,322
"0229 Enebakk (-2019)",11026,233,195,56
"0230 Lørenskog (-2019)",40106,71,67,596
"0231 Skedsmo (-2019)",55652,77,75,742
"0233 Nittedal (-2019)",24089,186,179,134
"0234 Gjerdrum (-2019)",6823,83,82,83
"0235 Ullensaker (-2019)",38234,252,250,153
"0236 Nes (Akershus) (-2019)",21885,637,609,36
"0237 Eidsvoll (-2019)",24919,456,386,65
"0238 Nannestad (-2019)",13682,341,324,42
"0239 Hurdal (-2019)",2864,285,261,11
"0299 Uoppgitt kommune Akershus",0,0,0,0
"03 Oslo",681067,454,426,1597
"0301 Oslo kommune",681071,454,426,1597
"0399 Uoppgitt komm. Oslo",0,0,0,0
"34 Innlandet",0,0,0,0
"04 Hedmark (-2019)",197406,27398,26086,8
"3401 Kongsvinger",0,0,0,0
"3403 Hamar",0,0,0,0
"3405 Lillehammer",0,0,0,0
"3407 Gjøvik",0,0,0,0
"3411 Ringsaker",0,0,0,0
"3412 Løten",0,0,0,0
"3413 Stange",0,0,0,0
"3414 Nord-Odal",0,0,0,0
"3415 Sør-Odal",0,0,0,0
"3416 Eidskog",0,0,0,0
"3417 Grue",0,0,0,0
"3418 Åsnes",0,0,0,0
"3419 Våler (Innlandet)",0,0,0,0
"3420 Elverum",0,0,0,0
"3421 Trysil",0,0,0,0
"3422 Åmot",0,0,0,0
"3423 Stor-Elvdal",0,0,0,0
"3424 Rendalen",0,0,0,0
"3425 Engerdal",0,0,0,0
"3426 Tolga",0,0,0,0
"3427 Tynset",0,0,0,0
"3428 Alvdal",0,0,0,0
"3429 Folldal",0,0,0,0
"3430 Os",0,0,0,0
"3431 Dovre",0,0,0,0
"3432 Lesja",0,0,0,0
"3433 Skjåk",0,0,0,0
"3434 Lom",0,0,0,0
