,ISCO,Lønnstakere 2019
0,0000,9057
1,0110,9015
2,0210,1172
3,0310,11639
4,1111,1584
5,1112,1013
6,1114,2176
7,1120,39363
8,1211,8294
9,1212,2124
10,1213,279
11,1219,25413
12,1221,15437
13,1222,1612
14,1223,2790
15,1311,768
16,1312,261
17,1321,11409
18,1322,6865
19,1323,13997
20,1324,8366
21,1330,4775
22,1341,4254
23,1342,9596
24,1343,2431
25,1344,1783
26,1345,11150
27,1346,4983
28,1349,4719
29,1411,637
30,1412,2686
31,1420,30425
32,1431,2572
33,1439,916
34,2111,390
35,2112,242
36,2113,749
37,2114,2570
38,2120,1268
39,2131,1435
40,2132,472
41,2133,442
42,2141,974
43,2142,23099
44,2143,239
45,2144,3540
46,2145,650
47,2146,12418
48,2149,6020
49,2151,2961
50,2152,4293
51,2153,350
52,2161,6248
53,2162,805
54,2163,782
55,2164,1222
56,2165,1075
57,2166,4276
58,2211,7404
59,2212,14968
60,2221,27673
61,2222,2548
62,2223,58207
63,2224,18013
64,2250,1359
65,2261,2921
66,2262,1602
67,2263,50
68,2264,6019
69,2265,677
70,2266,553
71,2267,2814
72,2269,273
73,2310,30850
74,2320,784
75,2330,26655
76,2341,80161
77,2342,33826
78,2351,2787
79,2352,2593
80,2353,150
81,2354,3154
82,2355,241
83,2356,36
84,2359,2652
85,2411,14051
86,2412,7351
87,2413,12619
88,2421,10461
89,2422,72094
90,2423,11929
91,2424,809
92,2431,7504
93,2432,3865
94,2433,2884
95,2434,544
96,2511,23838
97,2512,5050
98,2513,302
99,2514,227
100,2519,16994
101,2521,428
102,2522,1197
103,2523,0
104,2529,1804
105,2611,8952
106,2612,844
107,2619,875
108,2621,1217
109,2622,2644
110,2631,1279
111,2632,889
112,2633,285
113,2634,7582
114,2635,9923
115,2636,2333
116,2641,1335
117,2642,7489
118,2643,2138
119,2651,271
120,2652,2264
121,2653,370
122,2654,1065
123,2655,642
124,2656,347
125,2659,171
126,3112,17637
127,3113,4952
128,3114,12965
129,3115,7070
130,3116,2537
131,3117,12301
132,3118,2702
133,3119,24399
134,3121,138
135,3122,3401
136,3123,10269
137,3131,1384
138,3132,12
139,3133,404
140,3134,1723
141,3135,213
142,3139,70
143,3141,1257
144,3142,582
145,3143,646
146,3151,2998
147,3152,6142
148,3153,1929
149,3154,531
150,3155,358
151,3211,2916
152,3212,7340
153,3213,1791
154,3214,1006
155,3230,229
156,3240,1272
157,3251,995
158,3254,1300
159,3256,8846
160,3257,4063
161,3258,4965
162,3259,1993
163,3311,3753
164,3312,14220
165,3313,18467
166,3315,1807
167,3321,8639
168,3322,44016
169,3323,5675
170,3324,723
171,3331,4634
172,3332,834
173,3333,7442
174,3334,5731
175,3339,59
176,3341,6441
177,3342,935
178,3343,9977
179,3351,1213
180,3352,2364
181,3353,5779
182,3354,3
183,3355,10610
184,3359,7490
185,3411,3
186,3412,15954
187,3413,2860
188,3421,1662
189,3422,5103
190,3423,4313
191,3431,1124
192,3432,1734
193,3433,157
194,3434,2752
195,3439,1723
196,3511,15137
197,3512,4704
198,3513,640
199,3514,263
200,3521,1454
201,3522,1127
202,4110,61596
203,4131,23
204,4132,451
205,4211,809
206,4212,700
207,4213,0
208,4214,1921
209,4221,4476
210,4222,4113
211,4223,1192
212,4224,7622
213,4225,476
214,4226,8527
215,4227,1108
216,4229,775
217,4311,18236
218,4312,433
219,4313,1981
220,4321,34545
221,4322,7218
222,4323,7030
223,4411,341
224,4412,4068
225,4413,5
226,4415,1108
227,4416,476
228,5111,2405
229,5112,1397
230,5113,1342
231,5120,19737
232,5131,20531
233,5132,5907
234,5141,10088
235,5142,2557
236,5151,2264
237,5152,228
238,5153,20933
239,5161,0
240,5163,801
241,5164,443
242,5165,1869
243,5169,756
244,5211,339
245,5212,87
246,5221,164
247,5222,5251
248,5223,160182
249,5230,456
250,5241,55
251,5242,253
252,5243,254
253,5244,5003
254,5245,1411
255,5246,12821
256,5249,2654
257,5311,88881
258,5312,12286
259,5321,94397
260,5322,11637
261,5329,65007
262,5411,3994
263,5413,3886
264,5414,9766
265,5419,3373
266,6111,165
267,6112,6
268,6113,4692
269,6114,0
270,6121,3429
271,6122,315
272,6123,6
273,6129,6
274,6130,5473
275,6210,682
276,6221,6313
277,6222,519
278,6224,25
279,7112,4252
280,7113,610
281,7114,8855
282,7115,44661
283,7119,3084
284,7121,1352
285,7122,1971
286,7123,33
287,7124,1085
288,7125,1312
289,7126,17067
290,7127,1194
291,7131,6723
292,7132,2728
293,7133,819
294,7211,374
295,7212,5472
296,7213,4646
297,7214,4131
298,7215,1017
299,7221,177
300,7222,2051
301,7223,3318
302,7224,82
303,7231,20422
304,7232,1440
305,7233,20721
306,7234,104
307,7311,581
308,7312,57
309,7313,369
310,7314,10
311,7315,89
312,7316,9
313,7317,11
314,7318,389
315,7319,185
316,7321,1080
317,7322,1305
318,7323,241
319,7411,30606
320,7412,5686
321,7413,4680
322,7421,1451
323,7422,3635
324,7511,2151
325,7512,1660
326,7513,6
327,7514,3
328,7515,66
329,7522,1869
330,7531,460
331,7532,54
332,7534,334
333,7535,112
334,7536,60
335,7541,406
336,7542,1235
337,7543,41
338,7544,379
339,7549,922
340,8111,755
341,8112,122
342,8113,12180
343,8114,2116
344,8121,7629
345,8122,0
346,8131,9518
347,8132,59
348,8141,308
349,8142,2361
350,8143,498
351,8151,126
352,8152,927
353,8153,818
354,8154,89
355,8155,0
356,8156,70
357,8157,2249
358,8159,0
359,8160,22890
360,8171,2887
361,8172,3667
362,8181,1332
363,8182,1191
364,8183,800
365,8189,0
366,8211,1682
367,8212,3263
368,8219,52
369,8311,1849
370,8312,106
371,8322,14932
372,8331,15449
373,8332,24897
374,8341,740
375,8342,20277
376,8343,1757
377,8344,740
378,8350,4861
379,9111,290
380,9112,58618
381,9122,3020
382,9123,96
383,9129,10
384,9211,66
385,9212,659
386,9213,399
