"region","kjønn","alder","yrke","Lønnstakere 2018"
"0101 Halden (-2019)","Begge kjønn","15-74 år","1 Ledere",974
"0101 Halden (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",2650
"0101 Halden (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",1954
"0101 Halden (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",800
"0101 Halden (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",3203
"0101 Halden (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",59
"0101 Halden (-2019)","Begge kjønn","15-74 år","7 Håndverkere",1086
"0101 Halden (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",1558
"0101 Halden (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",644
"0104 Moss (-2019)","Begge kjønn","15-74 år","1 Ledere",1288
"0104 Moss (-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",3351
"0104 Moss (-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",2143
"0104 Moss (-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1229
"0104 Moss (-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",3508
"0104 Moss (-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",49
"0104 Moss (-2019)","Begge kjønn","15-74 år","7 Håndverkere",989
"0104 Moss (-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",683
"0104 Moss (-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",778
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","1 Ledere",1716
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",4837
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",3395
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","4 Kontoryrker",1773
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",5950
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",122
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","7 Håndverkere",2516
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","8 Prosess- og maskinoperatører, transportarbeidere mv.",2102
"0105 Sarpsborg (1992-2019)","Begge kjønn","15-74 år","9 Renholdere, hjelpearbeidere mv.",1456
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","1 Ledere",2884
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","2 Akademiske yrker",8390
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","3_01-03 Høyskole- og militære yrker",5539
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","4 Kontoryrker",2649
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","5 Salgs- og serviceyrker",8525
"0106 Fredrikstad (1994-2019)","Begge kjønn","15-74 år","6 Bønder, fiskere mv.",110
