geo;remote_share
Austria;0.34497523381044093
Belgium;0.3694807522888213
Bulgaria;0.28634500829059906
Croatia;0.3246497374314656
Cyprus;0.3396279841706059
Czechia;0.32294545353212395
Denmark;0.35249074969094635
Estonia;0.335307089142791
Finland;0.3469049092560929
France;0.3401294768761048
Germany (until 1990 former territory of the FRG);0.36749506124986686
Greece;0.3144765615469754
Hungary;0.29122782996180707
Iceland;0.3609187977947892
Ireland;0.35462450970101245
Italy;0.3324756897496011
Latvia;0.308212420371603
Lithuania;0.3119568566182809
Luxembourg;0.39303645824494443
Malta;0.3695630640550406
Montenegro;0.3254414663982319
Netherlands;0.370961624309058
North Macedonia;0.25384339190213134
Norway;0.37522281292831094
Poland;0.3061789097808266
Portugal;0.31770237647292915
Romania;0.23238870736726688
Serbia;0.2684694492560738
Slovakia;0.3038899822141137
Slovenia;0.3353999830556553
Spain;0.31923954102822794
Sweden;0.37608078653797833
Switzerland;0.396203089358599
Turkey;0.24162355883247325
United Kingdom;0.37907884342507864
